,predicate,object
2347,HAS_ROUTE,9408
2348,HAS_ROUTE,8720
2349,HAS_ROUTE,8761
2350,HAS_ROUTE,8673
2351,IN_COUNTRY,17016
2352,HAS_ROUTE,8803
2353,HAS_ROUTE,9262
2354,HAS_ROUTE,8684
2355,ON_CONTINENT,17252
2356,HAS_ROUTE,9137
2357,HAS_ROUTE,9093
2358,HAS_ROUTE,8674
2359,IN_COUNTRY,17016
2360,IN_COUNTRY,17172
2361,HAS_ROUTE,9176
2362,HAS_ROUTE,8870
2363,IN_CITY,14025
2364,HAS_ROUTE,8706
2365,IN_REGION,16274
2366,HAS_ROUTE,9284
2367,HAS_ROUTE,8978
2368,HAS_ROUTE,8732
2369,HAS_ROUTE,8972
2370,HAS_ROUTE,8682
2371,IN_COUNTRY,17065
2372,HAS_ROUTE,8912
2373,IN_COUNTRY,17016
2374,IN_REGION,16192
2375,IN_REGION,15785
2376,HAS_ROUTE,8811
2377,HAS_ROUTE,8673
2378,HAS_ROUTE,9707
2379,HAS_ROUTE,8809
2380,HAS_ROUTE,8673
2381,HAS_ROUTE,9665
2382,HAS_ROUTE,8701
2383,HAS_ROUTE,8956
2384,IN_COUNTRY,17046
2385,HAS_ROUTE,8805
2386,HAS_ROUTE,8697
2387,HAS_ROUTE,8637
2388,HAS_ROUTE,11281
2389,HAS_ROUTE,9316
2390,HAS_ROUTE,10136
2391,IN_COUNTRY,17093
2392,HAS_ROUTE,10422
2393,HAS_ROUTE,10280
2394,IN_COUNTRY,17019
2395,IN_CITY,15253
2396,HAS_ROUTE,8875
2397,IN_COUNTRY,17066
2398,IN_COUNTRY,17033
2399,ON_CONTINENT,17248
2400,HAS_ROUTE,8962
2401,ON_CONTINENT,17248
2402,IN_REGION,16131
2403,HAS_ROUTE,10788
2404,HAS_ROUTE,11672
2405,HAS_ROUTE,8728
2406,IN_COUNTRY,17019
2407,HAS_ROUTE,8897
2408,IN_COUNTRY,17093
2409,HAS_ROUTE,8685
2410,HAS_ROUTE,8766
2411,ON_CONTINENT,17251
2412,HAS_ROUTE,9186
2413,HAS_ROUTE,8634
2414,IN_COUNTRY,17069
2415,ON_CONTINENT,17250
2416,HAS_ROUTE,9905
2417,HAS_ROUTE,9115
2418,IN_REGION,16854
2419,ON_CONTINENT,17251
2420,ON_CONTINENT,17248
2421,HAS_ROUTE,11519
2422,HAS_ROUTE,9419
2423,IN_COUNTRY,17051
2424,ON_CONTINENT,17251
2425,ON_CONTINENT,17248
2426,IN_COUNTRY,17046
2427,IN_COUNTRY,17016
2428,ON_CONTINENT,17248
2429,HAS_ROUTE,8727
2430,HAS_ROUTE,8637
2431,HAS_ROUTE,8703
2432,IN_COUNTRY,17053
2433,HAS_ROUTE,8719
2434,HAS_ROUTE,8963
2435,HAS_ROUTE,8857
2436,IN_CITY,12153
2437,HAS_ROUTE,9285
2438,HAS_ROUTE,9336
2439,HAS_ROUTE,10559
2440,HAS_ROUTE,8787
2441,HAS_ROUTE,8654
2442,IN_COUNTRY,17027
2443,IN_REGION,16740
2444,ON_CONTINENT,17250
2445,HAS_ROUTE,8970
2446,HAS_ROUTE,9972
2447,HAS_ROUTE,10167
2448,ON_CONTINENT,17250
2449,ON_CONTINENT,17248
2450,HAS_ROUTE,8874
2451,IN_CITY,13229
2452,HAS_ROUTE,9856
2453,HAS_ROUTE,8720
2454,HAS_ROUTE,8679
2455,HAS_ROUTE,8773
2456,HAS_ROUTE,8799
2457,HAS_ROUTE,8739
2458,HAS_ROUTE,8864
2459,IN_REGION,16738
2460,IN_REGION,15508
2461,ON_CONTINENT,17250
2462,HAS_ROUTE,8667
2463,HAS_ROUTE,9109
2464,ON_CONTINENT,17248
